user_id,Timestamp,Q1. When you face a new problem…,Q2. Your brain feels happiest when...,Q3. You’d rather be known for…,Q6. When something doesn’t go as planned…,Q4. You care most about...,Q5. What does “success” mean to you?,Q8. If you could pick any project to spend a year on…,Q9. What kind of problems fascinate you most?,Q10. When you make a mistake…,Q7. What pushes you to keep going when things get tough?,Q11. Which phrase sounds most like you?,Q12. When you discover something new…,Q13. How do you usually learn best?,Q14. How do you deal with sudden change?,Q15. What kind of legacy would you like to leave behind?,Q16. Which of the following best describes your current role in life?,"Q17. When you think about your earlier aspirations, what best captures what you wanted to become?","Q17. Looking back, what do you think influenced the shift from your original dream or goal (if any)?","Q18. If you could choose an alternate path to your current one, what would guide your choice the most?","Q19. If you were to rewrite your journey from the start, where would you begin again?",Q20. How would you describe your mode or rhythm of life right now?,Column 137,"In your own words, how would you describe your current role or contribution in life?","When you think about your younger self, what was the dream or goal that inspired you most — and why?",Any suggestions or feedback for us as we build Career Path AI?
user_0001,2025-10-07 05:46:27,,,,,,,,,,,,,,,,,,,,,,,,,
user_0002,2025-10-07 06:18:46,,,,,,,,,,,,,,,,,,,,,,,,,
user_0003,2025-10-07 06:21:30,,,,,,,,,,,,,,,,,,,,,,,,,
user_0004,2025-10-07 06:23:10,,,,,,,,,,,,,,,,,,,,,,,,,
user_0005,2025-10-07 06:40:18,,,,,,,,,,,,,,,,,,,,,,,,,
user_0006,2025-10-07 08:01:51,,,,,,,,,,,,,,,,,,,,,,,,,
user_0007,2025-10-07 08:53:24,,,,,,,,,,,,,,,,,,,,,,,,,
user_0008,2025-10-07 10:06:27,,,,,,,,,,,,,,,,,,,,,,,,,
user_0009,2025-10-07 11:00:05,,,,,,,,,,,,,,,,,,,,,,,,,
user_0010,2025-10-07 11:05:21,,,,,,,,,,,,,,,,,,,,,,,,,
user_0011,2025-10-07 11:08:32,,,,,,,,,,,,,,,,,,,,,,,,,
user_0012,2025-10-07 11:24:37,,,,,,,,,,,,,,,,,,,,,,,,,
user_0013,2025-10-07 14:04:16,,,,,,,,,,,,,,,,,,,,,,,,,
user_0014,2025-10-07 15:10:59,,,,,,,,,,,,,,,,,,,,,,,,,
user_0015,2025-10-07 15:18:50,,,,,,,,,,,,,,,,,,,,,,,,,
user_0016,2025-10-07 15:19:45,,,,,,,,,,,,,,,,,,,,,,,,,
user_0017,2025-10-07 15:23:44,,,,,,,,,,,,,,,,,,,,,,,,,
user_0018,2025-10-07 15:37:42,,,,,,,,,,,,,,,,,,,,,,,,,
user_0019,2025-10-07 17:13:31,,,,,,,,,,,,,,,,,,,,,,,,,
user_0020,2025-10-08 00:08:44,,,,,,,,,,,,,,,,,,,,,,,,,
user_0021,2025-10-08 01:57:34,,,,,,,,,,,,,,,,,,,,,,,,,
user_0022,2025-10-08 02:39:38,,,,,,,,,,,,,,,,,,,,,,,,,
user_0023,2025-10-08 03:32:07,,,,,,,,,,,,,,,,,,,,,,,,,
user_0024,2025-10-08 03:36:36,,,,,,,,,,,,,,,,,,,,,,,,,
user_0025,2025-10-08 04:18:20,,,,,,,,,,,,,,,,,,,,,,,,,
user_0026,2025-10-08 05:04:17,,,,,,,,,,,,,,,,,,,,,,,,,
user_0027,2025-10-08 05:09:58,,,,,,,,,,,,,,,,,,,,,,,,,
user_0028,2025-10-08 06:39:36,,,,,,,,,,,,,,,,,,,,,,,,,
user_0029,2025-10-08 12:54:23,,,,,,,,,,,,,,,,,,,,,,,,,
user_0030,2025-10-08 12:57:13,,,,,,,,,,,,,,,,,,,,,,,,,
user_0031,2025-10-08 16:18:33,,,,,,,,,,,,,,,,,,,,,,,,,
user_0032,2025-10-08 16:19:20,,,,,,,,,,,,,,,,,,,,,,,,,
user_0033,2025-10-08 18:32:54,,,,,,,,,,,,,,,,,,,,,,,,,
user_0034,2025-10-08 19:27:03,,,,,,,,,,,,,,,,,,,,,,,,,
user_0035,2025-10-09 00:10:52,,,,,,,,,,,,,,,,,,,,,,,,,
user_0036,2025-10-09 00:43:19,,,,,,,,,,,,,,,,,,,,,,,,,
user_0037,2025-10-09 03:27:05,,,,,,,,,,,,,,,,,,,,,,,,,
user_0038,2025-10-09 17:27:53,,,,,,,,,,,,,,,,,,,,,,,,,
user_0039,2025-10-11 03:54:00,,,,,,,,,,,,,,,,,,,,,,,,,
user_0040,2025-10-12 17:58:18,,,,,,,,,,,,,,,,,,,,,,,,,
